呵	口可:kk
爪	𠂆丶:pd
旐	方兆:fv
笊	竹爪:vv
𬬿	钅召:jv
𬶐	鱼兆:yv
者	耂日:lo｜日耂:ol
浙	氵折:dv
遮	辶灬:zh｜辶庶:zu
哲	口折:kv
辄	车乚:ig｜车耴:iy
锗	金者:jv
褶	衤白:yb｜衤習:yx
蛰	虫执:iv
辙	车攵:iw
柘	木石:mu
谪	言啇:yd｜讠古:yg
蜇	虫折:iv
喆	吉吉:jj
磔	石桀:uj｜石木:um
赭	赤者:iv
蔗	艹丶:cd｜艹灬:ch｜艹庶:cu
晢	日折:ov
詟	龙言:ly
鹧	鸟庶:nu
䗪	虫庶:iu
真	十具:uj
朕	月关:og
镇	钅真:jv
帧	巾贞:jv
针	钅十:ju
阵	阝车:ei
枕	木乚:mg｜木冘:my
震	雨辰:yi
臻	至秦:vq
珍	王彡:wp
甄	瓦土:wt｜瓦垔:wy
振	扌辰:fi
贞	卜贝:bb
箴	竹咸:vx
诊	讠彡:yp
缜	纟真:sv
斟	斗甚:du
侦	亻贞:rv
鸩	.:na｜.:ng｜.:nv｜.:ny
砧	石占:uv
赈	贝辰:bi
祯	示贞:uv
轸	车彡:ip
榛	木秦:mq
疹	疒彡:bp
桢	木贞:mv
胗	月丿:op
圳	土川:ti
畛	田彡:tp
稹	禾真:hv
禛	示真:uv
鬒	髟真:iv
瑧	王秦:wq
葴	艹咸:cx
蓁	艹秦:cq
揕	扌甚:fu
袗	衤彡:yp
浈	氵贞:dv
昣	日彡:op
纼	纟引:sy
正	一止:av
证	言正:yv
挣	扌争:fv
蒸	灬䒱:hv｜艹灬:ch
整	正敕:vi｜正攵:vw
症	疒正:bv
争	刀肀:dy
郑	耳关:eg
征	彳正:xv
政	攵正:wv
睁	目争:ov
筝	竹争:vv
怔	心正:xv
烝	灬丞:hi
钲	钅正:jv
铮	钅争:jv
狰	犭争:qv
拯	扌丞:fi
峥	山争:uv
诤	讠争:yv
只	口八:kb
之	丶丶:dd
至	土𠫔:tv｜𠫔土:vt
值	亻直:rv
指	扌旨:fv
纸	纟氏:su
制	刂𠃌:dg｜刂{制左}:dv
治	氵台:dt
直	十且:uq｜一一:aa
知	矢口:uk｜口矢:ku
支	十又:uy
致	攵至:wv
质	贝十:bu｜𠂆贝:pb
汁	氵十:du
志	心士:xu｜士心:ux
置	罒直:sv
智	日知:ov
止	丨一:aa
酯	酉旨:yv
职	耳只:ev
执	扌丸:fw
掷	扌郑:fv
痣	疒志:bv
脂	月旨:ov
趾	足止:zv
彘	𠃋匕:ab｜彑匕:jb｜矢彑:uj｜𠃋匕:vb
织	纟只:sv
吱	口支:kv
芝	艹之:cv
植	木直:mv
滞	氵带:dd
跖	足石:zu
炙	火{月}:ho
秩	禾失:hu
旨	匕日:bo｜日匕:ob
侄	亻至:rv
祗	示氐:ud
栀	木⺋:me｜木卮:mv
芷	艹止:cv
址	土止:tv
雉	隹矢:vu｜矢隹:uv
窒	穴至:xv｜宀至:bv
肢	月支:ov
陟	阝步:eb
痔	疒寺:bs
沚	氵止:dv
枳	木只:mv
栉	木节:mj
稚	禾隹:hv
卮	丿⺋:pe
挚	手执:uv
郅	阝至:ev
轵	车只:iv
絷	糸执:sv
帙	巾失:ju
摭	扌灬:fh｜扌庶:fu
蛭	虫至:iv
鸷	鸟执:nv
铚	钅至:jv
蜘	虫知:iv
踬	足质:zv
祉	示止:uv
埴	土直:tv
帜	巾只:jv
扺	扌氏:fu
贽	贝执:bv
锧	钅质:jv
骘	马步:mb｜马陟:mv
踯	足郑:zv
咫	尺只:iv
觯	角单:jd
桎	木至:mv
滍	氵蚩:di
泜	氵氐:dd
黹	业八:yb
轾	车至:iv
跱	足寺:zs
忮	忄支:xv
稙	禾直:hv
胝	月氐:od
晊	日至:ov
庤	广寺:gs
梽	木志:mv
榰	.:mo｜木耆:mq｜.:mr
𦭜	艹只:cv
𬃊	木质:mv
中	丨丨:aa｜口丨:ka
众	人从:rc
钟	钅中:jv
终	纟冬:sd
忠	心中:xv
肿	月中:ov
冢	冖丶:bd｜冖豖:bi
仲	亻中:rv
盅	皿中:mv
锺	金重:jv
柊	木冬:md
踵	足重:zv
衷	亠𧘇:wy｜衣中:yv
舯	舟中:vv
螽	虫冬:id｜冬虫:di
茽	艹仲:cv
周	口几:kj｜冂口:kk
轴	车由:iy
州	川丶:id｜丶丨:da
咒	口几:kj｜几口:jk
肘	月寸:oc
洲	氵州:dv
舟	丿丶:pd
皱	刍皮:ip｜皮刍:pi
昼	尺旦:id
纣	纟寸:sc
胄	月由:oy
骤	马聚:mj
宙	宀由:by
籀	竹留:vl
酎	酉寸:yc
诌	言刍:yi｜讠彐:yx
绉	纟刍:si｜纟彐:sx
帚	巾冖:jb｜𫜹巾:xj
辀	车舟:iv
鸼	鸟舟:nv
赒	贝周:bv
碡	石毒:ud
妯	女由:ny
荮	艹寸:cc｜艹纣:cv
㑇	亻刍:ri
主	丶王:dw
住	亻主:rv
注	氵主:dv
煮	灬者:hv
猪	犭者:qv
祝	示兄:ux
柱	木主:mv
诸	讠者:yv
驻	马主:mv
竹	个个:gg
诛	言朱:yv
渚	氵者:dv
珠	王朱:wv
株	木朱:mv
铸	钅寿:ju
逐	辶豕:zu
筑	𥫗巩:vg
蛛	虫朱:iv
箸	𥫗者:vv
邾	耳朱:ev
铢	钅朱:jv
烛	火虫:hi
蛀	虫主:iv
贮	贝一:ba
嘱	口属:ku
拄	扌主:fv
炷	火主:hv
洙	氵朱:dv
茱	艹朱:cv
伫	亻一:ra
纻	纟一:sa
瞩	目属:ou
苎	艹一:ca
麈	鹿主:lv
槠	木诸:mv
舳	舟由:vy
疰	疒主:bv
杼	木予:my
潴	氵猪:dv
侏	亻朱:rv
翥	羽者:yv
砫	石主:uv
柷	木兄:mx
躅	足虫:zi｜足蜀:zu
蠋	虫虫:ii｜虫蜀:iu
橥	木猪:mv
瘃	疒丶:bd｜疒豖:bi
𬣞	讠㝉:yv｜讠一:ya
抓	扌爪:fv
髽	髟坐:iz
赚	贝兼:bj
专	一丶:ad｜{丰}龴:fs
砖	石专:uv
撰	扌共:fg
篆	𥫗彖:vt｜𥫗豕:vu
馔	.:ug
颛	.:ye
僎	亻共:rg
啭	口转:kv
瑑	王彖:wt｜王豕:wu
装	衣壮:yv
状	丬犬:jq｜丬犬:pq
撞	扌童:ft
庄	广土:gt
妆	女丬:np
桩	木庄:mv
壮	士丬:up
坠	土队:td
锥	金隹:jv
缀	纟双:su｜纟叕:sv
骓	马隹:mv
赘	贝敖:ba｜贝攵:bw
缒	纟追:sv
惴	忄而:xe
准	冫隹:dv
谆	讠享:yx
窀	穴屯:xt｜宀屯:bt
衠	彳亍:xi｜行真:xv
𬘯	纟享:sx
桌	木日:mo｜卜木:bm
捉	扌足:fz
啄	口丶:kd｜口豖:ki
卓	卜十:bu｜十日:uo
浊	氵虫:di
灼	火勺:hu
拙	扌出:fi
斫	石斤:uj
酌	酉勺:yu
擢	扌翟:fd｜扌隹:fv
镯	钅虫:ji｜钅蜀:ju
琢	王丶:wd｜王豖:wi
涿	氵丶:dd｜氵豖:di
倬	亻卓:rv
茁	艹出:ci
浞	氵足:dz
椓	木丶:md｜木豖:mi｜木豕:mu
禚	示羔:ug
诼	讠丶:yd｜讠豖:yi
棁	木兑:md
晫	日卓:ov
䓬	艹卓:cv
䦃	钅著:jv
𬸦	.:nz｜族鸟:zn
字	宀子:bz
自	丿一:pa｜丿目:po
子	乛一:aa｜乛一:vh
紫	糸此:sc
资	贝次:bc
籽	米子:mz
姿	女次:nc
滋	氵兹:dz
渍	氵责:dz
梓	木辛:mx
嗞	口兹:kz
姊	女𠂔:nz
咨	口次:kc
恣	心次:xc
赀	贝此:bc
訾	言此:yc
髭	髟此:ic
笫	𥫗𠂔:vz
缁	纟田:st｜纟甾:sz
眦	目此:oc
孳	子兹:zz
龇	齿此:ic
孜	攵子:wz｜子攵:zw
滓	氵宰:dz
辎	车田:it｜车甾:iz
淄	氵田:dt｜氵甾:dz
秭	禾𠂔:hz
镃	金兹:jz
耔	耒子:lz
嵫	山兹:uz
鼒	才鼎:cd｜鼎才:dc
虸	虫子:iz
锱	钅田:jt｜金甾:jz
趑	走次:zc
鲻	鱼田:yt｜鱼甾:yz
鄑	耳晋:ej
总	心口:xk｜丷心:bx
宗	宀示:bu
纵	纟从:sc
棕	木宗:mz
粽	米宗:mz
踪	足宗:zz
鬃	髟宗:iz
腙	月宗:oz
疭	疒从:bc
倧	亻宗:rz
鬷	鬲夂:gw
偬	亻怱:rc
走	土龰:tv
揍	扌奏:fz
奏	𡗗天:ft｜天𡗗:tf
邹	耳刍:ei｜阝彐:ex
陬	阝取:eq
诹	言取:yq
驺	马刍:mi｜马彐:mx
鲰	鱼取:yq
鄹	耳聚:ej
组	纟且:sq
族	方矢:fu
足	口龰:kv
租	禾且:hq
祖	示且:uq
阻	耳且:eq
俎	且人:qr｜人且:rq
菹	艹沮:cj｜艹且:cq
镞	金族:jz
诅	讠且:yq
钻	金占:jv
攥	扌糸:fs｜扌纂:fz
纂	𥫗糸:vs
缵	纟赞:sz
躜	足赞:zz
最	日取:oq
嘴	口角:kj｜口觜:kz
罪	罒非:sf
醉	酉卒:yz
蕞	艹最:cz
槜	木隽:mj｜.:mn
尊	寸酋:cq｜酋寸:qc
遵	辶尊:zz
樽	木尊:mz
鳟	鱼尊:yz
噂	口尊:kz
撙	扌尊:fz
僔	亻尊:rz
嶟	山尊:uz
𨱔	金尊:jz
做	亻故:rg
作	亻乍:rv
坐	土从:tc
左	工ナ:gu｜ナ工:ug
座	广坐:gz
佐	亻左:rz
昨	日乍:ov
唑	口坐:kz
祚	示乍:uv
阼	耳乍:ev
胙	月乍:ov
捽	扌卒:fz
岞	山乍:uv
𨱥	不長:bi｜長不:ib
𫘤	马矣:my
𨽩	丿冉:pr
𩈷	面巷:mx
𩈿	面奄:my
𩨺	骨一:ga
𪍾	敖麥:am｜麥敖:ma
𪌑	麥攵:mw
𪌠	麥山:mu
𪊏	鹿犬:lq
𪓴	黽攵:mw｜土黽:tm
𪓾	敖黽:am｜黽敖:ma
𪌌	麥火:mh
𪍮	麥敖:ma
𩖮	風犬:fq
𪖆	鼠發:uf
𪌾	麥备:mb
𪍞	麥备:mb
𪒰	黑賁:hb
𩘆	風田:ft
𩘙	風廾:fc
𪓏	民黹:mv｜黹支:vv
𪓎	黹扁:vb
𰻞	辶心:zx
𩖚	風勺:fu
𩖡	風夂:fw
𪊘	鹿丿:lp
𪊬	鹿衣:ly
𩗈	風多:fd
𪔀	丶黽:dm｜黽攵:mw
𪚂	齒薄:ib
𪚈	齒簿:ib
𪎄	麥薄:mb
𩫯	亠寸:wc
𪉼	卜取:bq
𫜦	齒甫:if
𪌎	麥木:mm
𪔯	鼓戚:gq
𪙻	齒戈:ig
𪙒	齒从:ic
𪉺	卜生:bu
𪏃	黄火:hh
𪛋	龠昌:yi
𩰸	鬲𫜹:gx
𪍉	麥少:mu
𪓨	白黽:bm｜黽匕:mb
𪓲	黽皿:mm｜日黽:om
𩱂	鬲丑:gi
𪌕	麥召:mv
䫿	風召:fv
𪘔	齒折:iv｜折齒:vi
𪋻	鹿土:lt
𪗕	齒十:iu
𪗥	齒戊:iw
𪗠	齒戈:ig
𪗗	齒几:ij
𩫨	亠成:wi
𪙬	齒舌:iu｜舌齒:ui
𪙶	齒舌:iu｜易齒:yi
𪛔	籥虎:yh
𪛍	龠丁:yd
𪐑	黍离:ul
𪗩	齒它:it
𪗪	齒司:is
𫠚	止句:vj
𪗺	齒寺:is
𪙋	齒心:ix
𪔖	鼓虫:gi
䬜	風离:fl
𩗨	風知:fv
𩘉	風禹:fy
𩈽	面女:mn
𪐽	黑出:hi｜出黑:ih
𪘷	齒所:is｜所齒:si
𪭢	扌从:fc
䶴	炊龠:iy
𪛐	出龠:iy｜龠欠:yq
𪛑	火龠:hy｜龠儿:ye
𪘏	足齒:zi
𩈾	面女:mn
𪘮	齒隹:iv
𪙸	齒工:ig
𪙼	齒工:ig｜亻齒:ri
𪙐	齒荖:il｜荖齒:li
𪘡	齒佐:iz
𪘠	齒一:ia
𪘋	齒幺:iy
𪗰	齒玄:ix
𪙉	齒差:ii
𪉵	卜差:bi｜差丶:id
𪚍	齒差:ii
𪋙	鹿巾:lj
𪓵	黽酋:mq｜酋黽:qm
𪍙	麥老:ml
𪍰	麥人:mr
𪎀	麥工:mg
𪊈	卜工:bg
𪊁	卜丆:ba｜亻丶:rd
𪙄	八齒:bi｜齒左:iz
𪉤	卜羊:by｜羊丶:yd
𮹝	龙龙:ll
𮄿	.:ll
𪐪	黑一:ha
𪑫	黑豕:hu
𪐨	黑冗:hr
𪒧	黑詹:hv
𩈌	面冗:mr
𪓆	黑大:hd
𪑓	黑炎:hy
𫜣	鼠登:ud
𪖣	鼻至:bv
𩨤	骨幺:gy
𪒉	黑氣:hq
䩇	面占:mv
𪚉	齒顛:id
𪒮	黑殿:hd
𪑣	黑几:hj
𪖗	鼻欠:bq
𪑍	黑几:hj
𪔸	鼠刁:ud
𪗫	齒失:iu
𪑘	黑木:hm
𪑞	黑木:hm
𩨰	骨失:gu
𩓩	頁亞:yy
𩰛	鬥鼓:dg
𩰚	鬥斤:dj
𩰖	鬥斤:dj
𩰑	鬥有:dy
𩰒	鬥豆:dd
𧢗	見一:ja
𩫭	亠者:wv
𩉃	面寸:mc｜爫面:vm
𪓁	黑寸:hc
𡱻	尸亞:uy
𪘰	齒虎:ih
𪘽	齒虐:in
䑺	舟風:vf
𩗋	風舟:fv
𩐏	番韭:fj｜韭番:jf
䬚	風馬:fm
𩨣	骨方:gf
𪕟	鼠伏:uf
𩱣	鬲沸:gf
𪎯	麻貴:mg
𪎬	麻貝:mb
𪔫	屮鼓:cg｜鼓屮:gc
𪎰	麻賁:mb
𪔵	鼓賁:gb
𪔭	鼓贲:gb
𪖅	鼠賁:ub
𩰜	鬥火:dh
𩰏	鬥分:df
𥻰	米冉:mr
𪎕	麻分:mf
𩖧	風火:fh
覅	勿要:wy
𩱉	鬲釜:gf
䴸	麥孚:mf
𪌐	麥手:mu
𪌻	麥甬:my
𩈨	甫面:fm｜面甫:mf
𫙆	鬲付:gf
𩈅	面干:mg
𪉡	卜一:ba
𪉛	卜冗:br
𪚒	干龍:gl｜龍干:lg
㡚	.:jg
𨪋	金冉:jr
𪉶	卜皿:bm
𪘭	齒囷:iq
𪔎	鼓云:gy
𪔐	鼓古:gg
𪔨	鼓革:gg
𪕸	鼠殳:uu
𪖃	鼠殳:uu
𪕗	光鼠:gu｜鼠光:ug
𪍯	麥累:ml
𨟍	亠阝:we
𩫩	亠邑:wy
𩰮	鬲斗:gd
𩫖	亠丨:wa
𪕛	鼠含:uh
𪖟	鼻甘:bg
𩫒	高巾:gj
𩫎	高巾:gj
𩫚	高巾:gj
𩫞	高彖:gt
𩐔	王韭:wj
𩨶	骨丿:gp
𪗮	齒禾:ih
𪌡	麥几:mj
𪕘	各鼠:gu｜鼠各:ug
𩫉	刀高:dg｜高刀:gd
𪌇	麥气:mq
𪗟	齒气:iq
𪗚	齒乙:iy
𪐗	火火:hh｜囗炎:ky
𪐫	黑攵:hw
𩙁	風黄:fh｜黄風:hf
𪏑	帛黄:bh｜黄帛:hb
𩖢	風厶:fs
𩙓	風元:fy
𫚉	鱼工:yg
𩖻	風永:fy
𩗇	風后:fh
𪍒	麥胡:mh
𩗛	風豕:fu
𩘐	風彖:ft
𩙤	風豕:fu
𩱒	鬲古:gg
𪏹	黍乎:uh
𪐉	黍胡:uh
𠁕	一一:aa｜十亞:uy
𪊖	鹿勿:lw
䴣	鹿乎:lh
𪋕	鹿又:ly
䴯	麥勿:mw
𪍃	麥忽:mh
𪘢	齒口:ik
𪊃	卜嵬:bw
𪐟	黑丸:hw
𪏥	黄華:hh
𪎮	麻手:mu
𪎜	麻电:md
𪏕	黄軍:hj
𩉓	面貝:mb
𩉖	面面:mm
𪖾	鼻嵬:bw
𪏞	黄彧:hy
𩈙	面舌:mu
𫙇	鬲冫:gd
𪙘	齒耳:ie
𪗊	出齊:iq｜齊出:qi
𪊨	鹿旨:lv
𪊋	鹿几:lj
𪗎	亠頁:wy
𩐐	韭二:je｜亠韭:wj
𩐒	韭次:jc｜束韭:uj
𩐑	車韭:ij｜韭次:jc
䪠	韭欠:jq
𩐈	丨韭:aj｜韭攵:jw
䪡	韭次:jc
𩐓	韭土:jt｜亠韭:wj
䪢	.:zj
𩐋	韭欠:jq｜束韭:uj
𩐎	敕韭:ij｜韭敕:ji
𩐇	韭攵:jw｜内韭:nj
䪣	.:cj
𩐊	韭次:jc｜木韭:mj
𩐄	韭吞:jt｜吞韭:tj
𩐖	禾韭:hj
𪙰	齒葛:ig
𪑼	黑建:hj
𪐡	大黑:dh｜黑大:hd
𪚜	龍开:lk
𪚟	干干:gg｜龍干:lg
𫠗	卤口:lk
𪊑	鹿开:lk
𬰣	面渐:mj｜渐面:jm
𪋱	鹿豕:lu
𥠾	禾冉:hr
𩉈	面火:mh
𪛓	龠鹿:yl
𩨪	骨勹:gg
𩨧	骨勹:gg
𩨦	骨兮:gx
𩨢	骨爪:gv
𩘗	風皆:fj
𪐱	黑介:hj
𪖧	鼻又:by
𪖽	鼻替:bt
𪋔	鹿小:lx
𪋠	鹿里:ll
𪋥	鹿量:ll
𩰰	鬲工:gg
𪙙	齒米:im
𪉝	卜矛:bm｜矛丶:md
𪕙	鼠同:ut
𪕥	鼠冏:uj
𩰘	鬥日:do
𪌖	麥巨:mj
𪊀	卜矞:by
𪙵	齒亶:id
𪙁	齒查:ii
𩗗	風貝:fb
𪗱	止且:vq
𪌭	麥月:mo
𪌃	麥干:mg
𪔼	鼠久:uj
𩘥	風豈:fq
𪚕	今龍:jl｜龍今:lj
𪎹	黄元:hy
𪙲	齒艮:ig｜豕齒:ui
𪎸	黄冗:hr
𩱯	鬲儿:ge
𪍢	麥殳:mu
𪍱	麥殳:mu｜声麥:um
𪍥	麥殳:mu
䯇	骨力:gl
𦮙	.:cc
𠆊	丶亞:dy
𪗿	齒列:il
𪙂	齒列:il
𪘼	齒剌:il｜剌齒:li
𪎂	麥來:ml
𪏧	黄氺:hu
𪌨	麥尸:mu｜山麥:um
𩱔	鬲禾:gh｜厂鬲:ig
𪍆	麥丿:mp
𪒅	黑力:hl｜來黑:lh
𪏱	黍兮:ux
𪋘	丙鹿:bl｜鹿丙:lb
㛤	女丽:nl
𪏭	利氺:lu
𪏯	黍丿:up
𪒁	黑厂:hi｜來黑:lh
𪑤	二黑:eh｜黑力:hl
𪑴	黑禹:hy
𪙱	丶齒:di｜齒禾:ih
𪙪	齒禾:ih｜厂齒:ii
𪒺	黑丿:hp｜黍黑:uh
𪏾	黍女:un
𪙑	齒屑:ix
𪚄	齒聯:il
𩗬	風京:fj
𩗖	風良:fl
𩘷	風彡:fp｜羽風:yf
𩘸	風心:fx｜羽風:yf
𩙂	大風:df｜風小:fx
𩗦	風列:fl
𩘃	風刂:fd
𩘛	風刂:fd
𩮮	镸烏:iw
𪊲	鹿各:lg
𪊺	鹿吝:ll
𪊓	鹿文:lw
𪊙	鹿文:lw
𪋷	鹿舛:li
𪋲	鹿舛:li
𪊭	鹿厶:ls
𪊱	鹿厶:ls
𪋚	鹿令:ll
𪋪	鹿零:ll
𪌒	麥欠:mq
𪋶	鹿口:lk
𪗲	丷令:bl
𪕋	鼠卯:um
𩙔	風劉:fl｜劉風:lf
𩙗	風金:fj
𤲢	田亞:ty｜亞田:yt
𪎁	龍麥:lm｜麥龍:ml
𪔢	鼓生:gu
𪚖	龍片:lp｜片龍:pl
𪚗	歹龍:dl｜龍歹:ld
𪚙	龍令:ll
𪚞	龍有:ly
𪔴	鼓隆:gl
𩫰	亠婁:wl
𪒓	黑丿:hp
𪋵	鹿录:ll
𪋤	鹿木:lm｜木鹿:ml
𪑔	黑录:hl
𪎚	麻手:mu
𪌙	麥戊:mw
𪌝	麥丶:md
𪌁	麥亡:mw
𬴗	高考:gk
𪎖	麻火:mh
𪑛	黑攵:hw｜山攵:uw
𪋩	鹿黍:lu
𪓑	黽丿:mp｜丿黽:pm
𪓕	口日:ko
𪓙	冂黽:km｜黽人:mr
𪓖	六黽:lm｜黽六:ml
𪓝	丿𫜹:px
𪍭	麥豕:mu
𪎓	彳麻:xm
𪋈	鹿弥:lm
𪋸	鹿冏:lj
𪒐	黑覓:hm
𪑎	黑且:hq
𪓢	臼黽:jm｜黽臼:mj
𪓥	黽羽:my｜羽黽:ym
𪓯	黽弭:mm
𪐩	黑火:hh
𪓋	黹米:vm
𪋃	鹿况:lk
𩈳	面面:mm
𩉊	面亶:md
𩱸	鬲弓:gg｜米弓:mg
𩱵	鬲蔑:gm｜米鬲:mg
𩉌	面麽:mm
𩉑	面摩:mm
𩉚	面靡:mm
𪑥	黑目:ho
𫜞	黑黽:hm｜黽黑:mh
𪌸	麥牛:mn
𪌚	麥弁:mb
𪍫	麥巾:mj｜矛麥:mm
𪍓	矛麥:mm｜麥攵:mw
𪍘	麥攵:mw
𪋂	鹿牡:lm
𩈃	面寸:mc
𩈝	面又:my
𩈫	面奈:mn
𩖙	風力:fl
𩰐	鬥小:dx
𪒌	黑一:ha
𪘅	虫齒:ii
𪗘	齒山:iu
𪘂	主米:vm
𪘖	齒劫:ij
𪙓	圭齒:gi｜齒尤:iy
𩖲	不風:bf｜風不:fb
𩈄	面刃:mr
䶊	鼻丑:bi
𪖔	鼻刃:br
𪋯	鹿需:lx
𪋣	鹿而:le
𪊫	鹿而:le
黁	麻香:mx
𩘾	風單:fd
𩙎	風一:fa
䫽	風毛:fm
𪊚	鹿巴:lb
䬌	風虎:fh
𩗸	風十:fu
𩖜	風十:fu
𩫪	高卑:gb
𩫮	亠卑:wb
𪍜	麥比:mb
𩡼	馬卞:mb
𩘔	風土:ft｜覀風:xf
𩘞	風氣:fq
𩙞	風灭:fm｜𠂆風:pf
𩰝	鬥賓:db
𪊯	鹿牝:lp
𪕂	鼠殳:uu
𪖊	鼠業:uy
𪍀	麥其:mq
𪗞	齒亓:iq
𪗌	齊肉:qr
𪊔	鹿亓:lq
𪒦	黑貝:hb
𪔤	鼓月:go
𪗈	齊歹:qd
𪗇	齊月:qo
𩉉	面臼:mj｜日臼:oj
𪘤	齒寸:ic
𪙝	齒將:ij
𩫈	高犬:gq
𪍷	麥喬:mq
𪖑	鼻乚:bg
𪙇	齒月:io｜尸齒:ui
𪙆	齒月:io
𩰔	鬥金:dj
𪉙	卜一:ba
𪉞	卜十:bu
䵸	黽秋:mq
𪔁	禾黽:hm｜黽灬:mh
𪖓	鼻久:bj
𪖖	鼻攵:bw
𪖒	鼻九:bj｜九鼻:jb
𪓔	卝黽:cm｜黽卝:mc
𪍚	麥柔:mr
𪌥	麥厶:ms
𪓞	黽句:mj
𪓟	句黽:jm｜黽句:mj
𪋼	麥匕:mb
𪌗	麥禾:mh
𪌲	臼麥:jm｜麥臼:mj
𪖏	鼠瞿:uq
𪚌	齒屬:iu
𩭨	镸長:ii
𪙖	齒大:id｜丿齒:pi
𩱜	鬲辰:gi
𪏷	奴黍:nu｜黍奴:un
𩗁	風玄:fx
𪎘	麻攴:mp
𪍽	麥木:mm
𪗼	齒色:is
𪖝	鼻口:bk
𪖨	鼻夾:bj
𪍬	麥莎:mu
𩰱	鬲羊:gy｜羊鬲:yg
𩱐	鬲商:gu
䵼	鼎將:dj
䵰	.:hu
𪋧	鹿矢:lu
𪓧	辰黽:im｜黽辰:mi
𢓠	彳先:xx
䴤	鹿生:lu
𪕵	鼠時:uu
𩪿	高丸:gw
𩗮	風甾:fz
𪕻	𠂆鼠:pu｜鼠虎:uh
𪕽	鼠又:uy
𩘦	風方:ff
𩘌	風秋:fq
𪍕	麥貞:mv
𪍐	麥木:mm
𪌯	麥肖:mx
𩱫	鬲速:gs
𪊴	鹿夂:lw
𪙅	齒又:iy
𪍳	麥隋:ms
𪙀	齒胥:ix
𪔮	鼓盍:gh
𪉷	卜丨:ba
𪉲	卜十:bu
𪔛	鼓兆:gv
𪖮	鼻一:ba
𪖰	鼻帝:bd
𪕬	鼠帝:ud
𪏡	黄斗:hd
𪘈	齒兆:iv
𪔧	鼓音:gy
𪘻	齒攵:iw｜未齒:wi
𪔝	鼓角:gj
𪔜	鼓甬:gy
𪏜	黄主:hv｜主主:vv
𪉰	卜俞:by
𪍍	麥俞:my
𪊸	鹿余:ly
䵊	丹黄:dh｜黄丹:hd
𩐕	广韭:gj
䵍	黄享:hx
𪐠	黑一:ha
𪓸	留黽:lm｜黽留:ml
𪓽	單黽:dm｜黽單:md
𪓤	圭日:go
𣵾	氵亞:dy
䴧	鹿委:lw
𩙊	風月:fo
𪑅	黑会:hh
𪐹	黑乃:hn
𩘚	風韋:fw｜韋風:wf
𠑒	偉風:wf
𩙃	風韋:fw｜彳風:xf
𩨖	骨十:gu
𩘂	風丶:fd
𪒖	黑奎:hk
𩗯	風委:fw｜委風:wf
𪖵	鼻邕:by｜邕鼻:yb
𠌥	亻烏:rw
𪕡	鼠吾:uw｜吾鼠:wu
𪕜	鼠吴:uw
𪖡	鼻危:bw
𪖤	鼻危:bw｜危鼻:wb
㮧	木烏:mw
䖚	虎烏:hw
𨻑	阜烏:fw
䶋	鼻及:bj
𩱗	鬲酉:gy
𩘴	風習:fx
𩰕	八鬩:bx
𪖪	鼻希:bx｜希鼻:xb
𪎥	麻易:my
𪎧	麻易:my
𩖳	風之:fv
䩂	面今:mj
𪉳	卜咸:bx｜咸丶:xd
𪕼	兼鼠:ju｜鼠兼:uj
𪏰	黍日:uo
𪏽	黍甘:ug
𪋒	鹿香:lx
䬘	風高:fg
𩘲	風鳥:fn
𪛕	龠龜:yg
𪛖	龠灬:yh
𩐂	韭双:ju｜双韭:uj
𪗣	齒勹:ig
𪙚	齒咼:ig
𪐕	黍甘:ug
𪏛	黄能:hn
𩗆	風休:fx
𪖻	鼻死:bs
𪕿	鼻冗:br
𩘶	風旋:fx
𪙿	虍齒:hi｜齒鬲:ig
𪘣	齒尾:iw
𪚊	虍齒:hi｜齒犬:iq
𪚋	齒獻:ix
𡹅	山亞:uy｜亞山:yu
𣇩	日亞:oy｜亞日:yo
𩨕	骨已:gy
𪘫	齒一:ia
𪑇	黑合:hh
𤊗	火亞:hy｜亞火:yh
𪉹	卜皿:bm｜土皿:tm
𪉩	皿丶:md｜土皿:tm
𪉟	卜皿:bm
𪋹	鹿嚴:ly
𪐜	黑乞:hq
𪒈	黑廾:hc
𪒞	黑犬:hq｜冂黑:kh
𪕤	鼠女:un
𪗛	齒开:ik
𪚔	龍大:ld
𪒻	黑黑:hh
𪛏	龠音:yy
𮭨	.:ny
𩗺	風易:fy
𪖘	鼻斗:bd
𪗡	齒攴:ip
𪏌	黄隹:hv
𩉇	面犬:mq
𩉏	面疑:my
𪍋	麥少:mu
𪑁	黑伊:hy
𠢉	艹力:cl｜力冉:lr
𫜢	鼠一:ua
𪊦	鹿因:ly
𪗯	齒充:ii
𪘄	齒匕:ib
𪘟	齒匕:ib
𪘙	齒言:iy｜言齒:yi
𪘯	齒攵:iw｜牙齒:yi
𩘕	風英:fy｜英風:yf
𩫱	亠庸:wy
𩫃	亠子:wz
𪐤	黑尤:hy
𪊛	鹿幼:ly
𪋎	鹿幽:ly
𪕏	鼠穴:ux
𩗿	風雨:fy
𪓉	黑寸:hc
𪒣	黑儿:he
𩱖	弓鬲:gg｜鬲束:gu
𪘚	止吾:vw
𩙅	風矞:fy｜矞風:yf
𩱢	鬲毓:gy｜毓鬲:yg
𪒃	黑彧:hy
𩈛	面丿:mp
𩫧	亠亘:wg
𪓒	九黽:jm｜黽九:mj
𪔥	鼓丨:ga｜丿鼓:pg
𪔱	鼓淵:gy
